post_id,date,date_original,year,text,source_url,scheduled_datetime
11,1850-06-16,16 Июня.,1850,"Вчера я плохо исполнил назначенное, а почему— объясню после.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-22 09:00:00
12,1850-06-17,17 Июня.,1850,"Встал в 8-м часу, до 10 ничего не делал, от 10 до 12 читал и дневник, 12 до 6 завтрак, отдых, некоторыя мысли о музыке и обед, 6—8 музыка, 8—10 хозяйство.— Второй день ленюсь, неисполняю назначеннаго. Отчего? Не понимаю. Однако, не отчаяваюсь, буду себя принуждать. Вчера, кроме неисполнения назначеннаго, еще изменил своему правилу.— Теперь уже не изменю тому, чтобы у себя в деревне не иметь ни одной женщины, исключая некоторых случаев, которые не буду искать, но не буду и упускать.— Когда бываю в апатическом расположении, то я заметил, что очень возбуждает меня к деятельности всякое философическое сочинение.— Мне кажется, что я стал лениться от того, что много слишком начал, по этому вперед не буду переходить к другому занятию, покуда не выполню назначеннаго.

Зиму третьяго года я жил в Москве, жил очень безалаберно, без службы, без занятий, без цели; и жил так не потому что, как говорят и пишут многие, в Москве все так живут, а просто потому что такаго рода жизнь мне нравилась.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-23 09:00:00
13,1850-06-18,18 Июня.,1850,"До 11 ничего, 11—12 музыка, 2—5 хозяйство, 6—8 о музыке, 8—11 наряд, музыка и чтение.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-24 09:00:00
14,1850-06-19,19 Июня.,1850,"Вчерашний прошел довольно хорошо, исполнил почти все; недоволен одним только: не могу преодолеть сладострастия, тем более, что эта страсть слилась у меня с привычкой.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-25 09:00:00
15,1850-06-20,20 Июня.,1850,"5—10 хозяйство и дневник, 10—12 музыка, 12—6 отдых, 6—10 хозяйство.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-26 09:00:00
16,1850-12-08,8 Декабря.,1850,"Москва.— 5 дней писал я дневник, а 5 месяцов в руки не брал.— Постараюсь вспомнить, что я делал это время и почему я так отстал видимо от занятий.— Большой переворот сделался во мне в это время; спокойная жизнь в деревне, прежния глупости и необходимость заниматься своими делами принесли свой плод.— Перестал я делать Испанския замки и планы, для исполнения которых не достанет никаких сил человеческих. Странно— как мог я пренебрегать тем, что составляет главное преимущество человека. Проигрыш Огареву, который приводил мои дела в совершенное расстройство, и после этаго пожар, который заставил невольно меня действовать.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-27 09:00:00
17,1850-12-13,13 Декабря.,1850,"Кажется, что страсти у меня к игре больше нет, впрочем, не отвечаю: нужно попробовать на деле. Переговорить с Петром о прошении на Высочайшее имя и о том, могу ли я перейдти служить в Москву?",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-28 09:00:00
18,1850-12-14,14 Декабря.,1850,"Недоволен я собой за вчерашний день; первое, за то, что слушал все ругательства Графини на Васиньку, котораго я люблю.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-29 09:00:00
19,1850-12-15,15 Декабря.,1850,"Недоволен очень я вчерашним днем. Первое, что ничего не сделал касательно опекунскаго Совета; второе, что ничего не писал, и третье— начал ослабевать в убеждениях и стал поддаваться влиянию людей.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-30 09:00:00
20,1850-12-16,16 Декабря.,1850,"Всегда вставать рано. С утра писать письма и повесть, съездить на Калымажный двор и в баню.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-31 09:00:00
21,1850-12-17,17 Декабря.,1850,"Встать рано и заняться письмом Дьякову и повестью, в 10 часов ехать к обедне в Зачатьевский монастырь.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-01 09:00:00
22,1850-12-19,19 Декабря.,1850,"Встать в 91/2, до 101/2 читать, до 12 писать и принять Волконскаго, 12 до 2 шляться, писать и писать до вечера.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-02 09:00:00
23,1850-12-20,20 Декабря.,1850,"В 10 к Волконскому, в 11-ть до 2 письма и повесть. Вот уже 11 часов вечера, и я ничего не писал и недоволен собою за то, что конфузился у Дьяковых.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-03 09:00:00
24,1850-12-21,21 Декабря.,1850,"2 достать денег и фихтовать. С 2 до 6 обедать где нибудь, с 6 до ночи дома писать и никого не принимать.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-04 09:00:00
25,1850-12-22,22 Декабря.,1850,"До 12 писать о музыке и анализировать, съездить к Графине и обедать; ежели не получу денег, написать Либину и Петру Евстратову.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-05 09:00:00
26,1850-12-26,26 Декабря.,1850,"К Князю Сергею Дмитриевичу, к Яковлевой, к Закревским. 26 плохо провел, был у Цыган.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-06 09:00:00
27,1850-12-27,27 Декабря.,1850,К Готье и к Чулкову.,https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-07 09:00:00
28,1850-12-28,28 Декабря.,1850,"Очень собою недоволен; главное-же потому, что был не здоров.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-08 09:00:00
29,1850-12-29,29 Декабря.,1850,"Живу совершенно скотски; хотя и не совсем беспутно, занятия свои почти все оставил и духом очень упал.— Встать рано, до 2 часов никого не принимать и не выезжать.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-09 09:00:00
30,1850-12-30,30 Декабря.,1850,"Правило. Искать положений трудных. Встать рано. Укладываться, все приготовить, вписать в дневник свое пребывание в Москве.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-10 09:00:00
31,1850-12-31,31 Декабря.,1850,"Был в дороге— виделся с Щербатовым и решился взять станцию, был у Почтмейстера, но не довольно основательно переговорил с Щербатовым.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-08-11 09:00:00
32,1851-01-01,1 Генваря 1851,1851,"был в Покровском, виделся с Николинькой, он не переменился, я же очень много и мог иметь на него влияние, ежели бы он не был столько странен; он или ничего не замечает и не любит меня, или старается делать, как будто он не замечает и не любит.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-12 09:00:00
33,1851-01-02,2-е Генваря.,1851,"Крестины пробыть с своими, ехать к Дьяковым и в ночь в Тулу. Заключить там с Щербатовым условие, воротится в ночь 3-го в Ясную, пробыть до вечера, и 4-го в ночь ехать в Москву.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-13 09:00:00
34,1851-01-13,13 Генваря.,1851,Станцию сдал— характер не выдержал.— Обоз пришел. Николая отпустил. Вел себя дурно.,https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-14 09:00:00
35,1851-01-14,14 Генваря.,1851,"Угрызения совести, денег почти нет, к Сергею Дмитриевичу Горчакову, к Колошиным.— С 14-го вел я себя неудовлетворительно.— К Столыпиным на бал не поехал; денег взаймы дал и поэтому сижу без гроша; а все от того, что ослабел характером.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-15 09:00:00
36,1851-01-18,18 Генваря.,1851,"Вел себя ни хорошо, ни дурно. Мало упругости.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-16 09:00:00
37,1851-01-25,25 Генваря.,1851,"Влюбился или вообразил себе, что влюбился, был на вечеринке и сбился с толку. Купил лошадь, которой вовсе не нужно.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-17 09:00:00
38,1851-02-28,28 Февраля.,1851,"Много пропустил я времени. Сначала завлекся удовольствиями светскими, потом опять стало в душе пусто; и от занятий отстал.— Мучало меня долго то, что нет у меня ни одной задушевной мысли или чувства, которое бы обусловливало все направление жизни; теперь-же кажется мне, нашел я идею и постоянную цель, это— развитие воли.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-18 09:00:00
39,1851-03-01,1-е Марта.,1851,Действовать в затруднительных случаях всегда по первому впечатлению.,https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-19 09:00:00
40,1851-03-02,2-е Марта.,1851,"Этаже мысль пришла мне потому, что я исключительно занимался напряжением воли, не заботясь о форме, в которой она проявлялась.— Теперь я хочу приготовиться к кандидатскому экзамену.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-20 09:00:00
41,1851-03-07,7-го Марта.,1851,"Нахожу для дневника, кроме определения будущих действий, полезную цель— отчет каждаго дня, с точки зрения тех слабостей, от которых хочешь исправиться. Читал романы, когда было другое дело. Все ошибки нынешняго дня можно отнести к следующим наклонностям: 1) Нерешительность, недостаток Энергии. 2) Обман самаго себя. 3) Торопливость. 4) Ложный стыд. 5) Дурное расположение духа. 6) Сбивчивость. 7) Подражание. 8) Непостоянство. 9) Необдуманность.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-21 09:00:00
42,1851-03-08,8-го Марта.,1851,"Опять долго не очнулся, однако, преодолел.— Смотрелся часто в зеркало. Это глупое, физическое себялюбие, из котораго кроме дурнаго и смешнаго ничего выдти не может.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-22 09:00:00
43,1851-03-11,11 Марта.,1851,"Писал письмо хорошо, немного торопливо, гимнастику делал торопливо.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-23 09:00:00
44,1851-03-13,13 Марта.,1851,"Лень. Приехал Жданов, и я поехал к Исленьеву, когда были другия дела. Трусость и рассеянность.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-24 09:00:00
45,1851-03-15,15 Марта.,1851,"Встал, лениво— лень. Не писал, лень. Необдуманно привел Колошина на торге лошади— на аукционе, струсил.

16 М. Встал лениво, лень, не писал, частью от того, что нечего, частью от того, что лень. Две главныя страсти, которыя я в себе заметил, это страсть к игре и тщеславие, которое тем более опасно, что принимает бесчисленное множество различных форм, как то: желание выказать, необдуманность, рассеянность и т. д.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-25 09:00:00
46,1851-03-20,20.,1851,"Поздно встал. У Исленьева не достучался и сошел вниз. Приехал я в Москву с тремя целями. 1) Играть. 2) Жениться. 3) Получить место.— Первое скверно и ниско, и я, слава Богу, осмотрев положение своих дел, решился поправить и привести в порядок дела продажею части имения.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-26 09:00:00
47,1851-03-23,23.,1851,"Занимался довольно хорошо, исключая недостатка твердости и с желанием выказать.— Обедал дома. О деньгах ничего не сделал и не придумал.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-27 09:00:00
48,1851-03-24,24.,1851,"Встал немного поздно и читал, но писать не успел. Приехал Пуаре, стал фехтовать.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-28 09:00:00
49,1851-03-25,25.,1851,"Встал поздно от лени. Дневник писал и делал гимнастику, торопясь.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-29 09:00:00
50,1851-03-27,27.,1851,Торопливо. Беклемишева принял в фуфайке. Потерял палку— рассеянность.,https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-30 09:00:00
51,1851-03-29,29.,1851,"Ленился и торопился писать, в делах рассеян, нежничество.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-08-31 09:00:00
52,1851-03-31,31.,1851,"Читал, не писавши дневника, и поздно. До 12 считался. Трусость, тщеславие, необдуманность, слабость, лень.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-01 09:00:00
53,1851-04-02,2.,1851,"С 5 до 10 читал. Был у Волконских, у Горчаковых, ходил по Бульвару, Бегичев дал денег, я ему не сказал ни да, ни нет, обман себя.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-02 09:00:00
54,1851-04-04,4 апреля.,1851,"Встал поздно, от лени, ходил, был в конторе. На фортепианах не играл, лень.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-03 09:00:00
55,1851-04-07,7 Апреля.,1851,Леность и слаб. Сережинька живет с Машей. Завтра Светлое Воскресение.,https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-04 09:00:00
56,1851-04-08,8.,1851,"Написал проповедь, лениво, слабо и трусливо.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-05 09:00:00
57,1851-04-09,"9,",1851,"10, 11, 12, 13. Был в Ясном, в Туле, видел Щербатова, Чулкова, Арсеньева. Из Пирогова путешествие. В Покровском ненатурален и ребячился.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-06 09:00:00
58,1851-04-16,16.,1851,"С 7 до 12 читал и делал гимнастику, то и другое не хорошо.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-07 09:00:00
59,1851-04-17,17.,1851,Ничего не писал— лень одолела!! Долго разговаривал с тетинькой. Она очень добра и очень высокой души. Мучает меня сладострастие.,https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-08 09:00:00
60,1851-04-18,18.,1851,"Не мог удержаться, подал знак чему-то розовому, которое в отдалении казалось мне очень хорошим. Чувство долга и отвращение говорили против, похоть и совесть говорило за. Последние одолели.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-09 09:00:00
61,1851-04-19,19.,1851,"Приехали Николинька, Валерьян и Маша. Завтра поеду в Тулу, решусь на счет службы. Я стал религиозен еще более в деревне.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-10 09:00:00
62,1851-05-20,20 Мая.,1851,"20 Апреля я уже не писал дневника и до 20 Мая. Я вспомню, однако, день за день этот месяц. Он очень интересен.— Последнее время, проведенное мною в Москве, интересно тем направлением и презрением к обществу и беспрестанной борьбой внутренней. Приезд в деревню. Тула. Пасха в Ясную. Путешествие. В Казани. В Саратов.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-11 09:00:00
63,1851-05-30,30 мая.,1851,Пишу 30 Июня в 10 часов ночи в старогладковской станице. Как я сюда попал? Незнаю. Зачем? Тоже.,https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-12 09:00:00
64,1851-06-02,2 Июня.,1851,"Хотел много писать, да то познее время. Напрасно. Лучше распоряжаться надо днем. Завтра пойду на охоту.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-13 09:00:00
65,1851-06-11,11 Июня.,1851,"Встал поздно, разбудил меня Николинька приходом с охоты.— Я ищу все какого-то расположения духа, взгляда на вещи, образа жизни, котораго я ни найдти, ни определить не умею.— Вчера я почти всю ночь не спал, пописавши дневник, я стал молиться Богу.— Сладость чувства, которое испытал я на молитве: передать невозможно. Мне хотелось слиться с Существом всеобъемлющим. Нет, вот оно чувство, которое испытал я вчера— это любовь к Богу.— Но нет! плотская— мелочная сторона опять взяла свое. Я заснул, мечтая о славе, о женщинах; но я не виноват, я не мог.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-14 09:00:00
66,1851-06-13,13 Июня.,1851,"Я продолжаю лениться, хотя собою доволен, исключая сладострастия.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-15 09:00:00
67,1851-07-03,3 Июля.,1851,"Теперь удерживаюсь и живу сознательно. Ездил в Червленную, напился, спал с женщиной; все это очень дурно и сильно меня мучает. Еще ни разу не проводил я больше 2 месяцов хорошо— так, чтобы я был доволен собою. Был в набеге. Впрочем, я так слаб, так порочен, так мало сделал путнаго. Сейчас лежал я за лагерем. Чудная ночь! Луна только что выбиралась из за бугра.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-16 09:00:00
68,1851-07-04,4-е Июля.,1851,"Я собою почти доволен; исключая того, что я это время как то пуст. Нет мыслей. Всегда буду говорить, что сознание есть величайшее моральное зло, которое только может постигнуть человека. Обедали втроем, как и обыкновенно: я, брат и Кноринг. Попробую набросать портрет Кноринга.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1851.htm,2026-09-17 09:00:00
69,1852-03-21,21 марта.,1852,"Я встал в 8-м часу, прочел главу Тьера во время чаю; потом пошел с Дмитрием и с собаками походить. Что было с моей стороны довольно глупо; потому что лучше было идти на учение, а еще лучше совсем не ходить; потому что я опять простудил зубы. Ничего не затравил, пришел домой и переводил до обеда; за обедом говорил о пожарах с Хилковским и довольно хорошо. Славный старик! Прост (в хорошем значении слова) и храбр. В этих двух качествах я уверен; и притом его наружность не исключает, как наружность Сулимовского, все хорошее. Алексеев увлекся сеном, и взгляд его был тверд. Я совершенно убежден, что тщеславие происходит от физического и морального бездействия. После обеда переписывал 1-ую часть и работал без всякого принуждения. Дай бог, чтобы это всегда так было. Приехал Султанов, в восторге от того, что получил собак. Замечательная и оригинальная личность. Ежели бы у него не было страсти к собакам, он бы был отъявленный мерзавец. Эта страсть более всего согласна с его натурой.

Приехал брат, я рассказывал ему, как мне неприятно было написать неправду в отзыве, который от меня требовали, надеясь, что он меня совершенно успокоит на этот счет, сказав, что это пустяки; напротив, он находит, что я сделал скверно. Странно, как он с своими рыцарскими правилами чести, которым он всегда верен, может уживаться и даже находит удовольствие с здешними офицерами. Отчего нам с ним как-то неловко с тех пор, как я приехал из Тифлиса? Не оттого ли, что мы слишком полюбили, идеализировали друг друга заочно; и ожидали друг от друга слишком много?

Порядок занятий, который я принял, то есть утром перевод, после обеда корректура и вечером повесть - очень хорош. Не знаю только, когда гимнастику; а это непременно нужно - какое-нибудь упражнение каждый день. Теперь 11-й час, я ужинаю и сейчас лягу спать.

Когда занимаешься, то время идет так скоро, что хотелось бы остановить его. В праздности оно идет так тихо, что хотелось бы гнать его. Что приятнее? Трудно решить. Знаю только то, что в воспоминаниях один день, проведенный в занятиях, равняется трем праздным. По этому расчету в праздные дни время должно бы было идти скорее, а выходит наоборот.",https://libking.ru/books/prose-/prose-rus-classic/184270-18-lev-tolstoy-dnevniki.html,2026-09-18 09:00:00
70,1852-03-22,22 марта.,1852,"Встал в 10-м часу, потому что ночью болели зубы - так сильно, что я впросонках охал и вскрикивал. Выпил два стакана кофе, чтобы противодействовать камфаре, которой я много поглотал по случаю зубной боли, и после этого потел целое утро. Пришел брат и Янович; они мне немного помешали, но я продолжал переводить. Обедал дома; после обеда немного заленился; хотя и работал, но не так усердно, как вчера. Корректур сделал не так много, как вчера, и не так чисто; а это главное, чтобы не надоел труд. Проиграл Яновичу две партии в шахматы - без царицы; и в этом видно, как он скромен. Не продолжал повесть частью оттого, что не успел, а частью оттого, что я сильно начинаю сомневаться в достоинстве первой части. Мне кажется слишком подробно, растянуто и мало жизни. Подумаю об этом.",https://libking.ru/books/prose-/prose-rus-classic/184270-18-lev-tolstoy-dnevniki.html,2026-09-19 09:00:00
71,1852-03-27,27 марта.,1852,"Читал ""Отечественные записки"" за февраль. ""Проселочные дороги"" очень хороши, но жаль, что подражание. Нынче буду делать корректуры, может быть, и писать. 12 ч. ночи. Хотя не совсем здоровилось, я делал корректуры до 11 часов, - и делал корректуры не совсем чисто и отчетливо; обедал, почитал и продолжал ту же работу, пришел брат, я ему читал писанное в Тифлисе. По его мнению, не так хорошо, как прежнее, а по-моему, ни к черту не годится. Хотел облегчить свой труд; но писаря переписывать не могут; следовательно, нужно работать одному. По случаю одной статьи А. Дюма о музыке я вспомнил, какого огромного наслаждения я лишен здесь. Почти все мечты счастия разрушены действительностью в моем воображении, исключая счастия артиста. Я хотя в очень несовершенном виде, но испытал его в деревне, в 1850 году. Завтра буду переписывать, писать письмо Сереже и обдумаю 2-й день: можно ли его исправить или нужно совсем бросить. Нужно без жалости уничтожать все места неясные, растянутые, неуместные одним словом, неудовлетворяющие, хотя бы они были хороши сами по себе. Постоянство и решительность - вот два качества, которые обеспечивают успех во всяком деле. Ложусь спать, 1/2 первого.",https://libking.ru/books/prose-/prose-rus-classic/184270-18-lev-tolstoy-dnevniki.html,2026-09-20 09:00:00
72,1852-03-29,29 марта.,1852,"С некоторого времени меня сильно начинает мучать раскаяние в утрате лучших годов жизни. И это с тех пор, как я начал чувствовать, что я бы мог сделать что-нибудь хорошее. Интересно бы было описать ход своего морального развития; но не только слова, но мысль даже недостаточна для этого. Нет границ великой мысли, но уже давно писатели дошли до непреступной границы их выражения. Играл в шашки, ужинал, ложусь спать. Меня мучит мелочность моей жизни - я чувствую, что это потому, что я сам мелочен; а все-таки имею силу презирать и себя, и свою жизнь. Есть во мне что-то, что заставляет меня верить, что я рожден не для того, чтобы быть таким, как все. Но отчего это происходит? Несогласие ли - отсутствие гармонии в моих способностях, или действительно я чем-нибудь стою выше людей обыкновенных? Я стар - пора развития или прошла, или проходит; а все меня мучат жажды... не славы - славы я не хочу и презираю ее; а принимать большое влияние в счастии и пользе людей.",https://libking.ru/books/prose-/prose-rus-classic/184270-18-lev-tolstoy-dnevniki.html,2026-09-21 09:00:00
